|------
|NOME|CNPJ|SITE|EMAIL|DDD TELEFONE|TELEFONE|DDD CELULAR|CELULAR
|TREVO EQUIPAMENTOS DE SEGURANCA EIRELI - EPP|00327224000102|NULL|NULL|11|27938550|NULL|NULL
|TROPPO COMERCIO DE ROUPAS LTDA - EPP|15649575000107|NULL|NULL|11|35555612|NULL|NULL
|UATI CONSTRUTORA LTDA - ME|10454884000108|NULL|NULL|11|26972379|NULL|NULL
|UNIHOPE - IMOBILIARIA, ADMINISTRACAO E CONSTRUCAO LTDA - EPP|04838482000104|NULL|NULL|11|22912211|NULL|NULL
|UNION TECNOLOGIA LTDA - ME |05268485000112|NULL|NULL|11|29165856|NULL|NULL
|UNION TECNOLOGIA LTDA - ME |05268485000201|NULL|NULL|11|26949283|NULL|NULL
|VIANI EMBALAGENS CAIXAS DE PAPELAO ONDULADO LTDA |61263109000106|NULL|NULL|11|28133700|NULL|NULL
|VISUAL MARKETING LTDA - ME|05302194000101|NULL|NULL|11|30313985|NULL|NULL
|W.T.X. INDUSTRIA E COMERCIO DE TECIDOS LTDA |08160922000178|NULL|NULL|11|26184080|NULL|NULL
|WYTECH COMERCIO DE MATERIAIS ELETRICOS EIRELI - EPP |17595896000100|NULL|NULL|11|82276749|NULL|NULL
|ZETA COMERCIO DE ROUPAS E CALCADOS LTDA.|11239439000198|NULL|NULL|11|32621630|NULL|NULL
|UNICA CONTADORES ASSOCIADOS LTDA|10600998000119|NULL|NULL|11|36543355|NULL|NULL
|ERICO INDUSTRIA E COMERCIO LTDA - ME|56758774000130|NULL|NULL|11|29165690|NULL|NULL
|TECNOLOGY WINNER SOLUCOES DE INFORMATICA LTDA - EPP|13259546000103|www.winnersolutions.com.br|NULL|11|26949283|NULL|NULL
|MARCELO ZANINI MOTOPEÇAS -ME|07040576000121|www.steeldream.com.br|NULL|11|30451355|NULL|NULL
|Wave Solutions|47782284000189|NULL|NULL|NULL|NULL|NULL|NULL
|PARCO CONTABILIDADE E ASSOCIADOS LTDA - ME|08507703000112|NULL|NULL|11|25968886|NULL|NULL
|PROVITAL DO BRASIL COMERCIO DE INSUMOS PARA COSMETICOS LTDA.|11340087000162|http://br.provitalgroup.com/pt/|NULL|11|23595993|NULL|NULL
|MARCO C. GONÇALVES CONTÁBIL ME|10697678000129|NULL|NULL|11|39760073|NULL|NULL
|CONFECÇÕES JOMARCIA LTDA ME|61486288000140|NULL|NULL|11|NULL|NULL|NULL
|EFATA SERVIÇOS COMBINADOS ESCRITORIO E APOIO ADM. LTDA|16825167000121|NULL|NULL|NULL|NULL|NULL|NULL
|PAULISTA MANUTENCOES CONDOMINIAIS LTDA|10904959000105|NULL|NULL|11|38721484|NULL|NULL
|SP ULTRA AZUL COMERCIO DE GAS LTDA - ME|07449346000110|NULL|NULL|11|39214756|NULL|NULL
|M.G. SOARES RODRIGUES ASSOALHOS ME|00559941000160|www.fgassoalhos.com.br|NULL|11|37136664|NULL|NULL
|LORENZ CONSULTORES LTDA|00238753000130|NULL|NULL|11|25968886|NULL|NULL
|IVETTE LOUISE HULIN DE BONHOMME -ME|17305701000131|NULL|NULL|NULL|NULL|NULL|NULL
|DPG SOTWARES E SERV. DE TECNOLOGIA DA INFORMAÇÃO LTDA - EPP|17697438000173|www.grupodpg.com.br|NULL|11|39740189|NULL|NULL
|DPG SOTWARES E SERV. DE TECNOLOGIA DA INFORMAÇÃO LTDA - EPP|17697438000173|www.grupodpg.com.br|NULL|11|39740189|NULL|NULL
|CARDIOSYSTEM SERVICOS CARDIOLOGICOS SOCIEDADE SIMPLES LTDA|06977728000154|NULL|NULL|11|38982372|NULL|NULL
|SETA ORGANIZAÇÃO CONTÁBIL LTDA|62496047000145|NULL|NULL|11|31238400|NULL|NULL
|Oriente Contabilidade e Consultoria Condominial Ltda.|02086301000105|www.orienteonline.com.br|NULL|17|33538012|NULL|NULL
|REI LEAO SERVIÇOS ADMINISTRATIVOS LTDA - ME|09151997000155|www.reileaocontabilidade.com.br|NULL|13|33175915|NULL|NULL
|REINALDO DA CONCEICAO - ME|06331527000185|www.reileaocontabilidade.com.br|NULL|13|33175915|NULL|NULL
|MARIA HELENA DA CONCEICAO FERNANDES MASSAS - EPP|02150195000181|www.pasteldebertioga.com.br|NULL|13|33176373|NULL|NULL
|ZELLETON INDUSTRIA E COMERCIO DE CONFECCOES LTDA - ME|56121825000119|NULL|NULL|11|29736096|NULL|NULL
|FOTO OTICA YOKOYAMA LTDA|46274189000101|MITUDIGITAL.COM.BR|NULL|11|50960055|NULL|NULL
|ALL MEDIA SUPRIMENTOS PARA COMUNICACAO VISUAL LTDA - EPP|15607231000135|NULL|NULL|11|30313985|NULL|NULL
|Sandra Agueda Sampaio Pangardi ME|02870142000135|www.venice.com.br|NULL|11|30219845|NULL|NULL
|William Pangardi ME|04901251000106|NULL|NULL|11|38349980|NULL|NULL
|NOVA ART COMERCIO DE REVESTIMENTOS LTDA ME|08660815000109|NULL|NULL|11|27810311|NULL|NULL
|RGL COMERCIO DE ALIMENTOS LTDA - ME|00000000000000|NULL|NULL|NULL|NULL|NULL|NULL
|S.C. COMERCIO E ENTREGAS DE GAS LTDA - ME|10519969000127|NULL|NULL|NULL|NULL|NULL|NULL
|ALAN MAURICIO DE ALBUQUERQUE - ME|07596766000120|NULL|NULL|NULL|NULL|NULL|NULL
|JOSE MAURICIO DE ALBUQUERQUE FILHO - ME|06125011000184|NULL|NULL|NULL|NULL|NULL|NULL
|CS ULTRA AZUL COMERCIO DE GAS LTDA - ME|06157563000174|NULL|NULL|NULL|NULL|NULL|NULL
|KELEN COM. GAS LIQUEFEITO E ENTREGAS LTDA ME|10749787000142|NULL|NULL|NULL|NULL|NULL|NULL
|LACREGAS COMERCIO DE GAS LTDA - ME|00248386000155|NULL|NULL|NULL|NULL|NULL|NULL
|LUCIANO CARVALHO RODRIGUES GAS - ME|05019752000118|NULL|NULL|NULL|NULL|NULL|NULL
|PEDRO TOMAS DA SILVA - ME|01533169000170|NULL|NULL|NULL|NULL|NULL|NULL
|RAPOSO GAS COMERCIO LTDA - ME|05554656000170|NULL|NULL|NULL|NULL|NULL|NULL
|TRANSGAS COMERCIO DE GAS LIQUEFEITO E ENTREGAS LTDA - ME|11084656000156|NULL|NULL|NULL|NULL|NULL|NULL
|A.M.C. GAS COMERCIO E TRANSPORTE DE GAS LTDA - ME|08472853000138|NULL|NULL|NULL|NULL|NULL|NULL
|HY ULTRA AZUL COMERCIO DE GAS LTDA - ME|10375289000187|NULL|NULL|NULL|NULL|NULL|NULL
|NITRATEC TRATAMENTO TERMICO DE METAIS|04173280000190|www.nitratec.com.br|NULL|11|49916774|NULL|NULL
|Platinum Material Cirúrgico EIRELI ME|14476801000132|NULL|NULL|11|25968886|NULL|NULL
|SIDNEI DE MELO MAGALHÃES - ME|10273122000105|NULL|NULL|NULL|NULL|NULL|NULL
|GILTON DA SILVA TELECOMUNICACOES - ME|11709943000104|http://www.linkfort.com.br/|NULL|13|33177432|NULL|NULL
|BBS INDUSTRIA E COMERCIO DE CONFECCOES LTDA ME|17326739000190|www.vrks.com.br|NULL|11|37960875|NULL|NULL
|AMORIM E MENEZES SOCIEDADE DE ADVOGADOS|18266136000103|NULL|NULL|11|29622004|NULL|NULL
|VRK SOLUTIONS|17302180000169|NULL|NULL|NULL|NULL|NULL|NULL
|RENOVA COMERCIO DE BRINDES E INFORMATICA LTDA EPP|18416336000103|NULL|NULL|11|35626235|NULL|NULL
|REAL TAIF SERVIÇOS LTDA|01908871000170|NULL|NULL|11|22935111|NULL|NULL
|AGROPECUARIA JARINA SA|03207826000203|NULL|NULL|NULL|NULL|NULL|NULL
|Person Consultoria e Contabilidade Ltda|03141332000184|www.personcon.com|NULL|11|31033450|NULL|NULL
|JOMAR RAMIRO SEGATTI &amp; CIA LTDA|54365606000150|NULL|NULL|19|34343477|NULL|NULL
|ELASTOMIX Compostos de Borracha Ltda EPP|03682479000181|NULL|NULL|NULL|NULL|NULL|NULL
|ARAUJO &amp; OZORIO LTDA.|06048814000182|ONI@ONI.ADM.BR|NULL|17|33535444|NULL|NULL
|L. A. NETO CONTABILIDADE|02354469000154|NULL|NULL|13|34813757|NULL|NULL
|ANGELO FONSECA MATOS ELETRICA ME|07643825000173|NULL|NULL|13|34918235|NULL|NULL
|ANGELA MAGAZINE LTDA ME|03649246000187|NULL|NULL|11|22299599|NULL|NULL
|A R FARIAS FUNILARIA ME|17786774000192|NULL|NULL|13|35962695|NULL|NULL
|Ind.e Com.Plasticos São Paulo Ltda - EPP|57255580000185|NULL|NULL|11|22956720|NULL|NULL
|ALL SERVICE SERVIÇOS DE MONITORAMENTO LTDA ME|13113322000199|NULL|NULL|NULL|NULL|NULL|NULL
|DIAS PRADO SOCIEDADE DE ADVOGADOS|12750743000168|NULL|NULL|NULL|NULL|NULL|NULL
|ESCRITÓRIO CONTÁBIL CONTEC ITU LTDA. - ME|04069778000108|www.escritoriocontec.com.br|NULL|11|40130300|NULL|NULL
|HENRIQUE CONGO NETO EPP|04842256000105|NULL|NULL|NULL|NULL|NULL|NULL
|CARLOS A LEMES CONTABILIDADE ME|11143316000159|PORTOLEMES.COM.BR|NULL|11|20154955|NULL|NULL
|ANALICE DOS SANTOS BISPO ME|09138343000191|NULL|NULL|11|39214224|NULL|NULL
|NSC PARTICIPAÇÕES LTDA|11784729000112|NULL|NULL|NULL|NULL|NULL|NULL
|REINALDO SARRA NETO EPP|05855130000120|NULL|NULL|NULL|NULL|NULL|NULL
|13950347000147|13950347000147|NULL|NULL|NULL|NULL|NULL|NULL
|AUGUSTO &amp; DIAS PRADO LTDA - ME |06053791000102|NULL|NULL|17|40091700|NULL|NULL
|CYGMA GESTAO DE PARTICIPAÇOES SOCIETARIAS LTDA|07126882000185|NULL|NULL|17|40091746|NULL|NULL
|1A. VIA CONTABILIDADE LTDA - ME  |05867808000194|www.primeiravia.com|NULL|11|35960291|NULL|NULL
|PATROLL SERVIÇOS AGRICOLAS LTDA - ME|05042670000194|NULL|NULL|17|40091700|NULL|NULL
|CMP COMERCIO DE EMBALAGENS LTDA EPP|11482273000136|NULL|NULL|11|46464999|NULL|NULL
|CONFECÇÕES KUINTIOLLI LTDA ME|59448217000101|NULL|NULL|11|39769649|NULL|NULL
|EDUARDO MARTINS MELO|10829533000134|NULL|NULL|11|42242570|NULL|NULL
|HOLDER CORRETORA DE SEGUROS LTDA - ME|01326585000105|NULL|NULL|11|30323546|NULL|NULL
|GUARDIAO GESTAO PATRIMONIAL LTDA|07587345000132|NULL|NULL|17|40091700|NULL|NULL
|IDEAL AM AUDITORIA, ASSES CONTABIL E FISCAL LTDA.|00407081000149|www.idealam.com.br|NULL|11|35649456|NULL|NULL
|LCL CONTABILIDADE SOCIEDADE SIMPLES LTDA ME|01591495000133|http://lclcont.com.br|NULL|11|33335433|NULL|NULL
|Cristal Color Ind e Com de Lentes Ltda|53241436000139|NULL|NULL|11|22740422|NULL|NULL
|SIMULATION AND ATTENDANCE HEALTH CENTER SERV MEDICOS LTDA|05382634000170|NULL|NULL|11|30837288|NULL|NULL
|INSTITUTO BRASIL CULTURAL DE DESENVOLVIMENTO INSTITUCIONAL I|06053796000127|NULL|NULL|NULL|NULL|NULL|NULL
|EDUARDO FERREIRA DE SOUZA|08777597000197|NULL|NULL|11|27049840|NULL|NULL
|LEFORTH PANIFICACAO E LANCHES LTDA|14593179000142|NULL|NULL|55|11964377|NULL|NULL
|C.M.C. INDUSTRIA E COM. DE COMPONETENS ELETRONICOS LTDA EPP|56754682000182|NULL|NULL|NULL|NULL|NULL|NULL
|FIT GRAPHICS GRAFICA E EDITORA LTDA EPP|01428225000106|http://www.fitgraphics.com.br/|NULL|NULL|NULL|NULL|NULL
|DELGADO SOLDAS LTDA|96207295000140|NULL|NULL|NULL|NULL|NULL|NULL
|EMERSON PASCHETO PELUCIA ME|06076353000151|NULL|NULL|11|39744871|NULL|NULL
|SAUVAS EMPREEND E CONSTR LTDA|56296569000109|www.sauvas.com|NULL|11|33782100|NULL|NULL
|OFICINA MECANICA E COMERCIO DE PEÇAS PARA AUTOS GORDINHO'S L|05874296000193|NULL|NULL|NULL|NULL|NULL|NULL
|J DEB EQUIPAMENTOS INOXIDAVEIS EIRELI |04307824000160|NULL|NULL|11|22172495|NULL|NULL
|Et Elastomeros Tecnicos Ltda|52242781000124|NULL|NULL|NULL|NULL|NULL|NULL
|Fiplas Industria e Comercio Ltda|96297114000114|NULL|NULL|NULL|NULL|NULL|NULL
|PERFECTA INDUSTRIA E COMERCIO DE PLASTICOS LTDA |04306209000139|NULL|NULL|NULL|NULL|NULL|NULL
|Fourth Technology Informática Ltda|01192808000180|NULL|NULL|NULL|NULL|NULL|NULL
|Pirâmide Moldes Plásticos Ltda|69052264000195|NULL|NULL|NULL|NULL|NULL|NULL
|Sigmaplast Indústria Com. e Export. Ltda|55365563000175|NULL|NULL|NULL|NULL|NULL|NULL
|IBT Industrial de borrachas tecnicas ltda|00907934000101|NULL|NULL|NULL|NULL|NULL|NULL
|Blaidehafen Atacadista de Prod. Descartaves Ltda|13135469000180|NULL|NULL|NULL|NULL|NULL|NULL
|Detalhe Indust. e Com. de Prod. Descartaveis Ltda|08862577000114|NULL|NULL|NULL|NULL|NULL|NULL
|Serthi Hidraulica Ltda|47710066000139|NULL|NULL|NULL|NULL|NULL|NULL
|Biomassa do Brasil Industria e Comercio Ltda|13840833000102|NULL|NULL|NULL|NULL|NULL|NULL
|Nutrs Refeições Coletivas Ltda|06243721000109|NULL|NULL|NULL|NULL|NULL|NULL
|Maria Elisa M Panaro Ref. Coletivas Me|10476773000100|NULL|NULL|NULL|NULL|NULL|NULL
|Sj Sistemas de Incendio Ldta|03028612000180|NULL|NULL|NULL|NULL|NULL|NULL
|Ag Pneus Centro Automotivo|04767287000130|NULL|NULL|NULL|NULL|NULL|NULL
|C.K Comercio de Moveis e Decorações Ltda|15392882000155|NULL|NULL|NULL|NULL|NULL|NULL
|Fit Digital Solutions Impressoes Digit. Ltda|07038452000101|NULL|NULL|NULL|NULL|NULL|NULL
|M.V Moveis e Decorações Ltda|15393959000101|NULL|NULL|11|55632356|NULL|NULL
|Rota das Embalagens Ltda|10382933000144|NULL|NULL|NULL|NULL|NULL|NULL
|Gika Comercio de Embalagens Ltda|14037298000119|NULL|NULL|NULL|NULL|NULL|NULL
|Elizandra Mb Panaro Caldeiras Me|11952994000162|NULL|NULL|NULL|NULL|NULL|NULL
|Rodabras ind. Bras. Rodas. e Autopeças Ltda|51467447000106|NULL|NULL|NULL|NULL|NULL|NULL
|Fernando Laurindo Buzzetto Com Atac. Vestuario e Aces.|00744454000177|NULL|NULL|NULL|NULL|NULL|NULL
|Oksman Transporte e Logistica Ltda|08992005000150|NULL|NULL|11|23047531|NULL|NULL
|CBI - CIA BRASILEIRA DE INSUMOS LTDA EPP|15670434000176|NULL|NULL|11|38053003|NULL|NULL
resa Teste|54784958000140|NULL|NULL|NULL|NULL|NULL|NULL
|Health Emporium Importação,  Exp e Comercialiazação Ltda|09458796000103|NULL|NULL|NULL|NULL|NULL|NULL
|PANIFIC.CENTRAL DE SAO CAETANO DO SUL LTDA EPP|05457852000126|NULL|NULL|NULL|NULL|NULL|NULL
|Goldenbank Metais LTDA|52114022000186|NULL|NULL|NULL|NULL|NULL|NULL
|Impermeabilizadora Radial Ltda|04586829000179|NULL|NULL|NULL|NULL|NULL|NULL
|Impermeabilizadora Radial Ltda - Filial|04586829000250|NULL|NULL|NULL|NULL|NULL|NULL
|RD Industria Quimica Ltda|05543080000145|NULL|NULL|NULL|NULL|NULL|NULL
|RITA DE CASSIA CASALE ME|11695060000192|NULL|NULL|13|34914512|NULL|NULL
|Action BR Soluções em Promoções Ltda|10612134000117|NULL|NULL|11|24764584|NULL|NULL
|IRMÃOS FORTINI IND DE CARVÃO VEGETAL LTDA ME |53794806000165|NULL|NULL|NULL|NULL|NULL|NULL
|P. E. BERGAMIM - ME|01355005000108|NULL|NULL|NULL|NULL|NULL|NULL
|BWX - COMERCIAL LTDA|61754784000138|NULL|NULL|11|45616416|NULL|NULL
|RR CONSULTORIA E PLANEJAMENTO CONTABIL SS LTDA ME|17041444000178|WWW.CONSULTORIARR.COM.BR|NULL|11|41132374|NULL|NULL
|LONG BEACH CENTRO DE IDIOMAS LTDA - ME|00986114000152|NULL|NULL|13|34735568|NULL|NULL
|GEOSYS DO BRASIL SISTEMAS DE INFORMAÇÕES AGRICOLA LTDA|15679473000134|NULL|NULL|11|32842828|NULL|NULL
|SLC AGENCIAMENTO DE SERV ESPECIAL E PERSONALIZADOS LTDA|07107875000136|NULL|NULL|11|32842828|NULL|NULL
|WELCOME REAL TIME DO BRASIL DESENV DE SOFT E SERVIÇOS LTDA|07599311000168|NULL|NULL|11|32842828|NULL|NULL
|BPL CONTABILIDADE LTDA|10371047000115|www.bplcontabilidade.com.br|NULL|11|44190602|NULL|NULL
|GORIOUX FARO DO BRASIL LTDA|04777814000198|NULL|NULL|11|32842828|NULL|NULL
|GORIOUX FARO CONSULTORIA E SERVIÇOS EMPRESARIAIS LTDA|10830124000158|NULL|NULL|11|32842828|NULL|NULL
|GF AUDITORES INDEPENDENTES|10448113000108|NULL|NULL|11|32842828|NULL|NULL
|CSP ASSESSORIA CONTABIL LTDA|04349153000108|NULL|NULL|11|32842828|NULL|NULL
|H C ALVES DE ANDRADE-FUNILARIA-ME|17323503000109|NULL|NULL|NULL|NULL|NULL|NULL
|PARQUE ESPORTES COMERCIO E SERVICOS LTDA EPP|18243200000130|WWW.PARQUEESPORTES.COM.BR|NULL|11|37911136|NULL|NULL
|Escritório Contabil Manchester Ltda. EPP|08945540000150|www.emanchester.com.br|NULL|15|32296060|NULL|NULL
|Quality Tubos Comercio de Ferro e Aço Ltda - EPP|11818296000179|NULL|NULL|11|25975713|NULL|NULL
|Intersec Ind.e Com.de Art. Arame Ltda|02351841000179|NULL|intersec1@fiscotec.com.br|11|29160038|NULL|NULL
|LILIAN C R DA PAIXAO CONTABILIDADE ME|10880386000127|WWW.PAIXAOCONTABIL.COM.BR|NULL|11|46342539|NULL|NULL
|CSM CONTABILIDADE SIDNEI MARTINS EIRELI|02603998000144|www.csm.com.br|NULL|11|46165887|NULL|NULL
|EKM SERVICOS ADMINISTRATIVOS DE ESCRITORIOS LTDA - ME|06088121000113|www.ekmservicos.com.br|NULL|11|39231650|NULL|NULL
|DELTAORG ORGANIZAÇÃO CONTABIL E FISCAL LTDA ME|11249011000126|www.deltaorg.com.br|NULL|19|33726200|NULL|NULL
|FUNDSOLO SERVIÇOS GEOTECNICOS E FUNDACOES LIMITADA|57884702000100|NULL|NULL|NULL|NULL|NULL|NULL
|M3 BOR  IND E COM DE COMPOSTOS E ARTEF. DE BORRACHA LTDA ME|05483931000101|NULL|NULL|11|39455049|NULL|NULL
|JOTA CONTÁBIL ASSESSORIA E AUDITORIA LTDA|05369682000128|www.jotacontabil.com.br|NULL|11|45249960|NULL|NULL
|CACHAÇAS DO BRASIL DISTRIBUIDORA DE BEBIDAS LTDA-ME|07572041000100|NULL|NULL|11|46165887|NULL|NULL
|M.R.S.CONTABIL S/S LTDA ME |13337736000100|WWW.MRSCONTABIL.COM.BR |NULL|19|36416464|NULL|NULL
|ROSTICCERIE ROMANI LTDA - ME|11849859000196|NULL|NULL|11|23385202|NULL|NULL
|LUCI MARCIA THOMAZ SCORSATO - ME|05411843000102|NULL|NULL|11|40132358|NULL|NULL
|EXPRESSO BENTO TRANSPORTES LTDA. - ME|06127352000199|NULL|NULL|11|40281672|NULL|NULL
|RDRSTAMP IND METALURGICA LTDA EPP|05611320000100|NULL|NULL|NULL|NULL|NULL|NULL
|BENTO EXPRESS CARGAS E ENCOMENDAS LTDA - ME|10743119000108|NULL|NULL|11|40281672|NULL|NULL
|OLGA PEREIRA |50966423000139|NULL|NULL|11|34942314|NULL|NULL
|AA STORE COMERCIO DE VESTUARIO EIRELI ME|18011611000109|WWW.AASTORE.COM.BR|NULL|11|43010078|NULL|NULL
|GENILDA LACERDA DE ALBUQUERQUE ARTESA ME|17935088000136|NULL|NULL|11|55849702|NULL|NULL
|SUMI CAR MULTIMARCAS COM DE VEIC LTDA|10361444000106|NULL|NULL|NULL|NULL|NULL|NULL
|SumUp Soluções de Pagamento Brasil LTDA|16668076000120|http://www.sumup.com.br|NULL|11|39588750|NULL|NULL
|MASTTER ABC LIMPEZAS TECNICAS, COMERCIO E MANUTENCAO INDUSTR|00930675000130|NULL|NULL|11|43525577|NULL|NULL
|MASTTER ABC MANUTENCOES E SERVICOS EM EXAUSTORES LTDA - ME|10755677000193|NULL|NULL|11|43525577|NULL|NULL
|POS-CLIQUE PROMOCAO DE VENDAS EIRELI|07158466000169|NULL|NULL|11|30354600|NULL|NULL
|NAPE NUCLEO ASSISTENCIAL PARA ESTAGIO LTDA - ME|04672795000135|NULL|NULL|11|43322712|NULL|NULL
|JOTACOM PROMOCAO DE VENDAS EIRELI - EPP|17878581000161|NULL|NULL|11|26949283|NULL|NULL
|JVFS PROMOCAO DE VENDAS LTDA - ME |09656446000143|NULL|NULL|11|30354600|NULL|NULL
|ICPEC - INSTITUTO DE COMPEMETRIA E PESQUISA LTDA|18588652000154|NULL|NULL|11|35626388|NULL|NULL
|J.F.V.S PROMOCAO DE VENDAS LTDA - EPP|13747834000107|NULL|NULL|11|30354600|NULL|NULL
|MV METALURGICA LTDA ME|56265259000119|NULL|NULL|11|37821271|NULL|NULL
|AURUM COMERCIO DE ALIMENTOS EIRELI ME|18659180000183|WWW.DOURADOALIMENTOS.COM.BR|NULL|11|36750777|NULL|NULL
|PRESENT SERVICE BRASIL COMÉRCIO E MARKETING LTDA.|09119667000182|www.present-service.com.br|NULL|11|31122600|NULL|NULL
|TATIANA GUIMARÃES FERREIRA - LAVANDERIA - ME|18242382000125|NULL|NULL|13|34762337|NULL|NULL
|GAEUNE CONT CONTABILIDADE E ASSESSORIA - EIRELI|15110419000173|www.gaeune.com.br|NULL|11|38117699|NULL|NULL
|Estilonox Comércio Import e export de Produtos em Inox Ltda|12782986000188|www.estilonox.com.br|NULL|11|34411286|NULL|NULL
|IL PIANETA COMERCIAL IMPORTADOR E EXPORTADORA LTDA|38812046000188|NULL|NULL|NULL|NULL|NULL|NULL
|ARRUDA MOVEIS RIO PRETO LTDA ME|04702410000135|NULL|NULL|17|32373133|NULL|NULL
|R M MAIMONE ARMARINHOS ME|15473857000104|NULL|NULL|17|30332119|NULL|NULL
|MARISA KANDA ME|07280808000119|NULL|NULL|11|31238400|NULL|NULL
|TRUCK CENTER BRAGANÇA LTDA - ME|12349294000140|NULL|NULL|11|40333464|NULL|NULL
|CRISTINA DELLA PERUTA SILVA ME|05025840000122|NULL|NULL|11|26826777|NULL|NULL
|ARTHUR TODAI GRAFICA ME|16746558000150|NULL|NULL|NULL|NULL|NULL|NULL
|MGP CORTE PLASMA E PERFIS DOBRADOS DE AÇO EIRELLI|18406893000135|NULL|NULL|NULL|NULL|NULL|NULL
|ESSENCIA ORGANIZAÇÃO CONTABIL LTDA|07325992000176|NULL|NULL|NULL|NULL|NULL|NULL
|MARCELE GOES DE OLIVEIRA CORREIA ESTILO SOB MEDIDA|12130304000152|http://www.estilosobmedida.com.br|NULL|11|26790250|NULL|NULL
|SOLID ESQUADRIAS ESPECIAIS LTDA ME|08062223000195|www.solidsystems.com.br|NULL|11|36668329|NULL|NULL
|DEIVID FERREIRA VENANCIO COMERCIAL ME|17072756000149|NULL|NULL|11|29110675|NULL|NULL
|CLINICA MEDICA DANIELA ACOCELLA - EIRELI |17216333000155|NULL|NULL|NULL|NULL|NULL|NULL
|WAVE SOLUTIONS LTDA|05427546000147|NULL|1@erp.com|NULL|NULL|NULL|NULL
|M Mugnol Assessoria Fiscal e Contabil Ltda|01147047000145|www.mmugnol.com.br|NULL|11|49659050|NULL|NULL
|WAVE SOLUTIONS LTDA|16184623000100|NULL|NULL|NULL|NULL|NULL|NULL
|Elba - Assessoria Empresarial Ltda|00899503000140|www.elbanet.com.br|NULL|11|33847722|NULL|NULL
|BEM CUIDAR FISIOTERAPIA S/S LTDA - EPP|17330835000102|NULL|NULL|NULL|NULL|NULL|NULL
|AZZI E OLIVEIRA MOVEIS PLANEJADOS LTDA ME |17882642000164|NULL|NULL|NULL|NULL|NULL|NULL
|ELASTOMIX COMPOSTOS DE BORRACHAS LTDA - EPP|03599048000156|NULL|NULL|NULL|NULL|NULL|NULL
| EGGO MOVEIS PLANEJADO LTDA - EPP|15146255000134|NULL|NULL|NULL|NULL|NULL|NULL
|AKIMOTO &amp; IRIA CORRETORA DE SEGUROS DE VIDA LTDA - ME|10458616000164|NULL|NULL|NULL|NULL|NULL|NULL
|TJM CONSERVAÇÃO PREDIAL LTDA - ME|09674778000150|NULL|NULL|NULL|NULL|NULL|NULL
|LIB CONSULTORIA EM RECURSOS HUMANOS LTDA - ME|07877545000120|NULL|NULL|NULL|NULL|NULL|NULL
|GESPLANNING APOIO EMPRESARIAL LTDA - EPP|07273221000182|NULL|NULL|NULL|NULL|NULL|NULL
|DUWIZ CONSULTORIA S/C LTDA|04746341000161|NULL|NULL|NULL|NULL|NULL|NULL
|EFFICIENT BUILDINGS GESTÃO E AUTOMAÇÃO PREDIAL LTDA|16950865000159|NULL|NULL|NULL|NULL|NULL|NULL
|IVETE APARECIDA BARRETO - ME|08091539000105|NULL|NULL|NULL|NULL|NULL|NULL
|MASTER WINGS COMERCIO IMPORTAÇÃO  EXPORTAÇÃO LTDA ME|01151975000183|NULL|NULL|NULL|NULL|NULL|NULL
|PESSOA &amp; PESSOA LTDA - ME|16501505000170|NULL|NULL|NULL|NULL|NULL|NULL
|ZILDA CRISTINA ALVES PINTO PRODUÇÕES ARTISTICAS|12462014000106|NULL|NULL|NULL|NULL|NULL|NULL
|FREE WAY CORRETORA DE SEGUROS LTDA|13446047000125|NULL|NULL|NULL|NULL|NULL|NULL
|GERICARE FONOAUDIOLOGIA S/S LTDA - EPP|17409362000133|NULL|NULL|NULL|NULL|NULL|NULL
|LOURDINA JEAN RABIEH - ME|08408790000150|NULL|NULL|11|30627173|NULL|NULL
|RAMAR AR CONDICIONADO E INSTALACOES LTDA - ME |10220920000179|horse.power@terra.com.br|NULL|11|29415095|NULL|NULL
|DUKAN - CONSULTORIA E ASSESSORIA EM NUTRIÇÃO E DIETÉTICA|15773074000138|NULL|NULL|11|30325052|NULL|NULL
|ELETROMOTORES HORSE POWER LTDA - EPP |00990500000118|horse.power@terra.com.br|NULL|NULL|NULL|NULL|NULL
|COMERCIO DE CARNES SILVA BUENO LTDA|67925701000102|NULL|NULL|11|20615447|NULL|NULL
|SHRIEVE QUIMICA DO BRASIL LTDA|19390762000170|www.shrieve.com|NULL|19|35781177|NULL|NULL
|LE PAIN BRASIL PAES DOCES E CONV LTDA|11111541000103|NULL|NULL|11|30324820|NULL|NULL
|SILMO COMERCIO DE AUTO PECAS LTDA EPP|97554366000144|NULL|NULL|11|78696861|NULL|NULL
|Marcio Doria de Araujo Santos - ME|05822761000142|NULL|NULL|11|36818723|NULL|NULL
|TUTTI MOVEIS E DECORAÇÕES LTDA|68144229000133|NULL|NULL|NULL|NULL|NULL|NULL
|J.PICONI INDUSTRIA E COMERCIO DE CALHAS LTDA - ME|05786490000117|NULL|NULL|19|NULL|NULL|NULL
|ACQUASULY PISCINAS, AQUECEDORES E HIDRAULICA LTDA -ME|11774787000165|NULL|NULL|NULL|NULL|NULL|NULL
|Enfoque Assessoria e Consultoria Contábil Ltda|07957827000137|www.enfoquecontabil.com.br|NULL|NULL|11452713|NULL|NULL
|NAYARA MÓVEIS E COLCHÕES LTDA ME|04717951000137|NULL|NULL|11|39111474|NULL|NULL
